id,company_id,department_id,employee_number,first_name,last_name,email,phone,date_of_birth,gender,tax_file_number,start_date,termination_date,termination_reason,status,employment_type,role,annual_salary,hourly_rate,super_fund,super_member_number,street,city,state,postcode,bank_bsb,bank_account_number,bank_account_name
0526a041-65aa-4b51-89a5-10288483b5e5,29946c71-6cdc-4a03-8749-2a16578bb7e1,a9b24b8e-e831-4d36-aeee-974020b61c3c,EMP-0001,Julie,Allen,julie.allen@company.com.au,0420.747.344,1971-11-01,female,905531333,2019-02-12,,,active,full_time,Store Manager,102208.05,,AustralianSuper,2088246,Suite 561 5 James Fire Track,Banksville,VIC,2987,899-880,36625445,Julie Allen
ed93514f-0a02-44e9-aa3f-95858aea3d7e,29946c71-6cdc-4a03-8749-2a16578bb7e1,a9b24b8e-e831-4d36-aeee-974020b61c3c,EMP-0002,Cheyenne,Henderson,cheyenne.henderson@company.com.au,+61.8.7726.1801,2003-03-03,female,910389412,2021-12-19,2024-03-08,resignation,terminated,full_time,Assistant Manager,100000.00,,Australian Retirement Trust,3490668,Flat 88 5 Robert Tollway,Allisontown,VIC,0257,581-536,37709500,Cheyenne Henderson
a880a836-df5c-4eb3-9956-add221308008,29946c71-6cdc-4a03-8749-2a16578bb7e1,61a38dad-2b98-43b2-a744-cd914f963244,EMP-0003,Matthew,Adkins,matthew.adkins@company.com.au,+61 2 5627 9844,1986-06-20,male,631722443,2022-11-11,,,active,full_time,Sales Associate,66635.49,,REST Super,6617235,Unit 00 2 Robert Corso,Nicoleshire,QLD,0850,759-964,23528908,Matthew Adkins
cd6c9442-745d-4b1e-a791-8fa76f069e61,29946c71-6cdc-4a03-8749-2a16578bb7e1,61a38dad-2b98-43b2-a744-cd914f963244,EMP-0004,Tracy,Carr,tracy.carr@company.com.au,03 0765 7561,1971-11-23,female,569468343,2020-08-12,,,active,part_time,Senior Sales Associate,69000.00,,AustralianSuper,9801729,8 Rodriguez Loop,Cohenview,VIC,7436,525-981,53272127,Tracy Carr
3c4ac599-6614-407b-9669-eb7776e26fef,29946c71-6cdc-4a03-8749-2a16578bb7e1,61a38dad-2b98-43b2-a744-cd914f963244,EMP-0005,Anthony,Brown,anthony.brown@company.com.au,+61849532610,1961-01-11,male,293585502,2020-11-02,,,active,full_time,Sales Lead,69097.46,,Sunsuper,7856574,Level 9 186 Webb Spur,New Brian,NSW,2890,491-318,41953135,Anthony Brown
b55926a3-1fc9-49ce-8ebf-05395d1b66dd,29946c71-6cdc-4a03-8749-2a16578bb7e1,61a38dad-2b98-43b2-a744-cd914f963244,EMP-0006,Douglas,Vargas,douglas.vargas@company.com.au,+61.2.4124.3145,1972-03-20,male,970606935,2022-11-10,,,active,full_time,Customer Service Rep,63000.00,,REST Super,5316363,0/691 Wendy Parkway,Nelsontown,NSW,2904,910-405,27746981,Douglas Vargas
05d3accd-fbc3-41a8-aa04-8d4198882118,29946c71-6cdc-4a03-8749-2a16578bb7e1,61a38dad-2b98-43b2-a744-cd914f963244,EMP-0007,Jamie,Chang,jamie.chang@company.com.au,+61 408 710 012,1999-08-09,female,610597479,2019-08-06,,,active,full_time,Sales Associate,68249.04,,Hostplus,6226204,59/98 Franco Rue,Markberg,QLD,2798,164-960,36373431,Jamie Chang
f0a32847-fac1-44ef-a51b-93a9438e3fa6,29946c71-6cdc-4a03-8749-2a16578bb7e1,c7fe77e5-f5dc-4b8f-b298-e4f64b598264,EMP-0008,Suzanne,Berry,suzanne.berry@company.com.au,5711-3162,1963-03-18,female,115947603,2020-03-25,,,active,part_time,Warehouse Associate,53694.61,,Australian Retirement Trust,3227267,96/2 Melissa Cutting,Howeton,NSW,2220,738-570,18317120,Suzanne Berry
ce5c32d7-2dba-44b8-b379-91697e0c229c,29946c71-6cdc-4a03-8749-2a16578bb7e1,c7fe77e5-f5dc-4b8f-b298-e4f64b598264,EMP-0009,Phillip,Smith,phillip.smith@company.com.au,03 8091 4494,2004-01-19,male,980148500,2020-05-27,,,active,full_time,Warehouse Lead,104259.69,,UniSuper,2392446,7 Ortiz Landing,Salinasborough,NSW,2979,990-585,58117349,Phillip Smith
f1413c63-03df-41f2-bdf1-3eff1725ee80,29946c71-6cdc-4a03-8749-2a16578bb7e1,c7fe77e5-f5dc-4b8f-b298-e4f64b598264,EMP-0010,Robert,Gray,robert.gray@company.com.au,0496.813.968,1967-11-10,male,101630181,2023-05-06,,,active,full_time,Dispatch Officer,72000.00,,REST Super,4637172,Apt. 027 58 Snow Common,Rebeccaborough,VIC,0802,379-737,94711633,Robert Gray
